cnn_sgmt_pkey,street_name,full_street_name,class_code,duel_car_way_yn,corrected_length_miles,direction,facility_type,directionality,surface_type,barrier,innovation,orientation,sharrow,contraflow,install_year,duel_car_id
"3504000",CABRILLO,CABRILLO ST,"5",NO,0.0585005505325,,BIKE LANE,2W,,,,N/W,NO,NO,"1997","0"
"3504000",CABRILLO,CABRILLO ST,"5",NO,0.0585005505325,,BIKE LANE,2W,,,,S/E,NO,NO,"1997","0"
"3505000",CABRILLO,CABRILLO ST,"5",NO,0.0586253383593,,BIKE LANE,2W,,,,N/W,NO,NO,"1997","0"
"3505000",CABRILLO,CABRILLO ST,"5",NO,0.0586253383593,,BIKE LANE,2W,,,,S/E,NO,NO,"1997","0"
"3506000",CABRILLO,CABRILLO ST,"5",NO,0.0585293683641,,BIKE LANE,2W,,,,N/W,NO,NO,"1997","0"
"3506000",CABRILLO,CABRILLO ST,"5",NO,0.0585293683641,,BIKE LANE,2W,,,,S/E,NO,NO,"1997","0"
"3515000",CABRILLO,CABRILLO ST,"5",NO,0.0591678811671,,BIKE LANE,2W,,,,N/W,NO,NO,"1997","0"
"3516000",CABRILLO,CABRILLO ST,"0",NO,0.0835980058015,,BIKE PATH,2W,,,,N/W,NO,NO,"0","0"
"3516000",CABRILLO,CABRILLO ST,"0",NO,0.0835980058015,,BIKE PATH,2W,,,,S/E,NO,NO,"0","0"
"3467000",CABRILLO,CABRILLO ST,"5",NO,0.0617176501822,,BIKE LANE,2W,,,,N/W,NO,NO,"1997","0"
"3467000",CABRILLO,CABRILLO ST,"5",NO,0.0617176501822,,BIKE LANE,2W,,,,S/E,NO,NO,"1997","0"
"3468000",CABRILLO,CABRILLO ST,"5",NO,0.0587933318393,,BIKE LANE,2W,,,,N/W,NO,NO,"1997","0"
"3468000",CABRILLO,CABRILLO ST,"5",NO,0.0587933318393,,BIKE LANE,2W,,,,S/E,NO,NO,"1997","0"
"3469000",CABRILLO,CABRILLO ST,"5",NO,0.0588154277914,,BIKE LANE,2W,,,,N/W,NO,NO,"1997","0"
"3469000",CABRILLO,CABRILLO ST,"5",NO,0.0588154277914,,BIKE LANE,2W,,,,S/E,NO,NO,"1997","0"
"3470000",CABRILLO,CABRILLO ST,"5",NO,0.0587420178763,,BIKE LANE,2W,,,,N/W,NO,NO,"1997","0"
"3470000",CABRILLO,CABRILLO ST,"5",NO,0.0587420178763,,BIKE LANE,2W,,,,S/E,NO,NO,"1997","0"
"1508000",26TH,26TH ST,"4",NO,0.0231234184431,,BIKE ROUTE,2W,,,,S/E,NO,NO,"0","0"
"1510000",26TH,26TH ST,"5",NO,0.0542502608176,,BIKE ROUTE,2W,,,,N/W,NO,NO,"0","0"
"1510000",26TH,26TH ST,"5",NO,0.0542502608176,,BIKE ROUTE,2W,,,,S/E,NO,NO,"0","0"
"1511000",26TH,26TH ST,"5",NO,0.0516703106042,,BIKE ROUTE,2W,,,,N/W,NO,NO,"0","0"
"1511000",26TH,26TH ST,"5",NO,0.0516703106042,,BIKE ROUTE,2W,,,,S/E,NO,NO,"0","0"
"1512000",26TH,26TH ST,"5",NO,0.0514263007401,,BIKE ROUTE,2W,,,,N/W,NO,NO,"0","0"
"1512000",26TH,26TH ST,"5",NO,0.0514263007401,,BIKE ROUTE,2W,,,,S/E,NO,NO,"0","0"
"1513000",26TH,26TH ST,"5",NO,0.0492165651873,,BIKE ROUTE,2W,,,,N/W,NO,NO,"0","0"
"1513000",26TH,26TH ST,"5",NO,0.0492165651873,,BIKE ROUTE,2W,,,,S/E,NO,NO,"0","0"
"1514000",26TH,26TH ST,"5",NO,0.0513262307526,,BIKE ROUTE,2W,,,,N/W,NO,NO,"0","0"
"1514000",26TH,26TH ST,"5",NO,0.0513262307526,,BIKE ROUTE,2W,,,,S/E,NO,NO,"0","0"
"1372000",25TH,25TH AVE,"4",NO,0.128885779835,,BIKE LANE,2W,,,,N/W,NO,NO,"2000","0"
"1372000",25TH,25TH AVE,"4",NO,0.128885779835,,BIKE LANE,2W,,,,S/E,NO,NO,"2000","0"
"1248000",23RD,23RD ST,"4",NO,0.0530226873246,,BIKE LANE,2W,,,,N/W,NO,NO,"2012","0"
"1248000",23RD,23RD ST,"4",NO,0.0530226873246,,BIKE LANE,2W,,,,S/E,NO,NO,"2012","0"
"1249000",23RD,23RD ST,"4",NO,0.0527849579202,,BIKE LANE,2W,,,,N/W,YES,NO,"2012","0"
"1249000",23RD,23RD ST,"4",NO,0.0527849579202,,BIKE LANE,2W,,,,S/E,YES,NO,"2012","0"
"1250000",23RD,23RD ST,"4",NO,0.0300711797835,,BIKE ROUTE,2W,,,,N/W,YES,NO,"2012","0"
"1250000",23RD,23RD ST,"4",NO,0.0300711797835,,BIKE LANE,2W,,,,S/E,NO,NO,"2012","0"
"216201",03RD,03RD ST,"3",YES,0.0291599127158,S/E,BIKE ROUTE,2W,,,,S/E,YES,NO,"2012","704"
"13714201",WOODSIDE,WOODSIDE AVE,"4",YES,0.0251815568931,S/E,BIKE ROUTE,2W,,,,S/E,YES,NO,"2005","352"
"9882201",OCTAVIA,OCTAVIA ST,"5",YES,0.0186833114565,N/W,BIKE ROUTE,2W,,,,N/W,YES,NO,"2006","803"
"13532201",WEBSTER,WEBSTER ST,"5",YES,0.0337540750943,N/W,BIKE LANE,2W,,,,N/W,NO,NO,"2000","800"
"220201",03RD,03RD ST,"3",YES,0.0193601418135,S/E,BIKE ROUTE,2W,,,,S/E,YES,NO,"2012","700"
"220201",03RD,03RD ST,"3",YES,0.0193601418135,S/E,BIKE ROUTE,2W,,,,S/E,YES,NO,"2012","700"
"11957201",SLOAT,SLOAT BLVD,"3",YES,0.0426386229775,N/W,BIKE ROUTE,2W,,,,N/W,YES,NO,"2012","487"
"13533201",WEBSTER,WEBSTER ST,"5",YES,0.0338298953371,N/W,BIKE LANE,2W,,,,N/W,NO,NO,"2003","799"
"217201",03RD,03RD ST,"3",YES,0.00913950067506,S/E,BIKE ROUTE,2W,,,,S/E,YES,NO,"2012","703"
"10563000",POLK,POLK ST,"5",NO,0.0316058683556,,BIKE LANE,2W,,,,S/E,YES,NO,"2004","0"
"9837201",OCEAN,OCEAN AVE,"4",YES,0.0156644846275,N/W,BIKE ROUTE,2W,,,,N/W,YES,NO,"2006","507"
"515000",11TH,11TH ST,"5",NO,0.120040313044,,BIKE LANE,2W,,,GREEN WAVE,N/W,NO,NO,"2000","0"
"515000",11TH,11TH ST,"5",NO,0.120040313044,,BIKE LANE,2W,,,GREEN WAVE,S/E,NO,NO,"2000","0"
"516000",11TH,11TH ST,"5",NO,0.119381811348,,BIKE LANE,2W,,,,N/W,NO,NO,"2000","0"
"516000",11TH,11TH ST,"5",NO,0.119381811348,,BIKE LANE,2W,GREEN PAINT,CURB,SEPARATED BIKEWAY,S/E,NO,NO,"2000","0"
"480000",10TH,10TH ST,"3",NO,0.0453473498248,,BIKE ROUTE,1W,,,,S/E,YES,NO,"2010","0"
"481000",10TH,10TH ST,"3",NO,0.0303193334802,,BIKE ROUTE,1W,,,,S/E,YES,NO,"2010","0"
"482000",10TH,10TH ST,"3",NO,0.00635294232392,,BIKE ROUTE,1W,,,,S/E,YES,NO,"2010","0"
"483000",10TH,10TH ST,"3",NO,0.0415230190583,,BIKE ROUTE,1W,,,,S/E,YES,NO,"2010","0"
"11920000",SILVER,SILVER AVE,"4",NO,0.0237852969831,,BIKE ROUTE,2W,,,,S/E,YES,NO,"2005","0"
"11921000",SILVER,SILVER AVE,"4",NO,0.0568928524236,,BIKE ROUTE,2W,,,,N/W,YES,NO,"2005","0"
"11921000",SILVER,SILVER AVE,"4",NO,0.0568928524236,,BIKE ROUTE,2W,,,,S/E,YES,NO,"2005","0"
"11922000",SILVER,SILVER AVE,"4",NO,0.0454720027321,,BIKE ROUTE,2W,,,,N/W,YES,NO,"2005","0"
"11922000",SILVER,SILVER AVE,"4",NO,0.0454720027321,,BIKE ROUTE,2W,,,,S/E,YES,NO,"2005","0"
"11923000",SILVER,SILVER AVE,"4",NO,0.0110946746423,,BIKE ROUTE,2W,,,,N/W,YES,NO,"2005","0"
"11923000",SILVER,SILVER AVE,"4",NO,0.0110946746423,,BIKE ROUTE,2W,,,,S/E,YES,NO,"2005","0"
"10640000",POST,POST ST,"5",NO,0.091019912374,,BIKE ROUTE,2W,,,,N/W,YES,NO,"2010","0"
"10640000",POST,POST ST,"5",NO,0.091019912374,,BIKE ROUTE,2W,,,,S/E,YES,NO,"2010","0"
"11924000",SILVER,SILVER AVE,"4",NO,0.0568213797507,,BIKE ROUTE,2W,,,,N/W,YES,NO,"2005","0"
"11924000",SILVER,SILVER AVE,"4",NO,0.0568213797507,,BIKE ROUTE,2W,,,,S/E,YES,NO,"2005","0"
"11925000",SILVER,SILVER AVE,"3",NO,0.0628285573266,,BIKE ROUTE,2W,,,,N/W,YES,NO,"2005","0"
"11925000",SILVER,SILVER AVE,"3",NO,0.0628285573266,,BIKE ROUTE,2W,,,,S/E,YES,NO,"2005","0"
"11926000",SILVER,SILVER AVE,"4",NO,0.0217550235657,,BIKE ROUTE,2W,,,,N/W,YES,NO,"2005","0"
"11926000",SILVER,SILVER AVE,"4",NO,0.0217550235657,,BIKE ROUTE,2W,,,,S/E,YES,NO,"2005","0"
