gid,cnn_sgmt_pkey,street_name,street_type,full_street_name,street_layer,class_code,duel_car_way_yn,gis_length_miles,duel_car_way_id,corrected_length_miles,f_node_cnn_intrsctn_fkey,t_node_cnn_intrsctn_fkey,shape_length,sgmt_trnsprtn_pkey,daily_ride_qrt,daily_ride_eght,speed_avg_mta
11558,4280000,COLON,AVE,COLON AVE,STREETS,5,NO,0.087394177,0,0.087394195,22646000,22651000,178.3498822,3835,30826,17191,
11518,4322000,CONCORD,ST,CONCORD ST,STREETS,5,NO,0.047319396,0,0.047319416,21459000,21460000,96.51453063,3876,16802,0,
11559,4281000,COLON,AVE,COLON AVE,STREETS,5,NO,0.12771967,0,0.127719695,22651000,22801000,260.2821788,3836,34479,24442,
11560,4282000,COLONIAL,WAY,COLONIAL WAY,STREETS,5,NO,0.053892929,0,0.053892948,22114000,50618000,109.647718,3837,6530,1052,
11561,4283000,COLTON,ST,COLTON ST,STREETS,5,NO,0.040002399,0,0.040002397,24396000,24394000,81.51910058,3838,120991,35052,
11562,4284000,COLTON,ST,COLTON ST,STREETS,5,NO,0.05161596,0,0.051615969,24394000,24404000,105.1853634,3839,120152,39933,
11563,4285000,COLUMBIA SQUARE,ST,COLUMBIA SQUARE ST,STREETS,5,NO,0.119904752,0,0.119904777,23926000,23925000,244.3707106,3840,58894,15917,
11564,4286000,COLUMBUS,AVE,COLUMBUS AVE,STREETS,3,NO,0.055122632,0,0.05512265,24758000,24782000,112.3406908,3841,137713,44681,
11484,4287000,COLUMBUS,AVE,COLUMBUS AVE,STREETS,3,NO,0.024964436,0,0.024964446,24782000,24766000,50.87581103,3842,136645,37562,
11485,4288000,COLUMBUS,AVE,COLUMBUS AVE,STREETS,3,NO,0.063649649,0,0.063649666,24766000,24791000,129.7143572,3843,140604,36230,
11486,4289000,COLUMBUS,AVE,COLUMBUS AVE,STREETS,3,NO,0.016310284,0,0.016310254,24791000,24792000,33.23959863,3844,130660,31328,
11487,4290000,COLUMBUS,AVE,COLUMBUS AVE,STREETS,3,NO,0.051827695,0,0.051827705,24792000,24794000,105.6228849,3845,125775,30472,22
11488,4291000,COLUMBUS,AVE,COLUMBUS AVE,STREETS,3,NO,0.032069062,0,0.032069087,24794000,25321000,65.35588583,3846,104476,38108,22
11489,4292000,COLUMBUS,AVE,COLUMBUS AVE,STREETS,3,NO,0.030143978,0,0.03014399,25321000,25330000,61.43285891,3847,111781,45132,
11490,4293000,COLUMBUS,AVE,COLUMBUS AVE,STREETS,3,NO,0.057133567,0,0.057133572,25330000,25332000,116.4377803,3848,113278,52131,
11491,4294000,COLUMBUS,AVE,COLUMBUS AVE,STREETS,3,NO,0.083158394,0,0.083158377,25332000,25352000,169.4776965,3849,115653,64496,
11492,4295000,COLUMBUS,AVE,COLUMBUS AVE,STREETS,3,NO,0.086591128,0,0.08659118,25352000,25364000,176.4755513,3850,111956,50359,
11493,4296000,COLUMBUS,AVE,COLUMBUS AVE,STREETS,3,NO,0.054270375,0,0.054270322,25364000,25424000,110.6057923,3851,88205,53351,
11494,4297000,COLUMBUS,AVE,COLUMBUS AVE,STREETS,3,NO,0.030667455,0,0.030667494,25424000,30710000,62.50196626,3852,73486,40462,
11495,4298000,COLUMBUS,AVE,COLUMBUS AVE,STREETS,3,NO,0.084555539,0,0.084555524,30710000,25442000,172.3301196,3853,84712,43986,
11496,4299000,COLUMBUS,AVE,COLUMBUS AVE,STREETS,3,NO,0.026600728,0,0.026600739,25442000,25462000,54.2143233,3854,70931,19476,27
11497,4300000,COLUMBUS,AVE,COLUMBUS AVE,STREETS,3,NO,0.058788433,0,0.058788423,25462000,25465000,119.8159835,3855,70931,21934,27
11498,4301000,COLUMBUS,AVE,COLUMBUS AVE,STREETS,3,NO,0.083977813,0,0.083977831,25465000,25468000,171.1557016,3856,69689,19566,
11499,4302000,COLUMBUS,AVE,COLUMBUS AVE,STREETS,3,NO,0.041335191,0,0.041335176,25468000,25526000,84.24683715,3857,40340,14574,
11500,4303000,COLUMBUS,AVE,COLUMBUS AVE,STREETS,3,NO,0.043983889,0,0.043983908,25526000,25525000,89.64573555,3858,36493,13266,
11501,4304000,COLUMBUS,AVE,COLUMBUS AVE,STREETS,3,NO,0.055704596,0,0.055704618,25525000,25534000,113.5350172,3859,39432,19045,
11502,4305000,COLUMBUS,AVE,COLUMBUS AVE,STREETS,3,NO,0.029623098,0,0.029623093,25534000,25533000,60.37701266,3860,33065,15723,
11503,4306000,COLUMBUS,AVE,COLUMBUS AVE,STREETS,4,NO,0.084219861,0,0.084219851,25533000,25573000,171.6595152,3861,37674,21403,
11504,4307000,COLUMBUS,AVE,COLUMBUS AVE,STREETS,5,NO,0.028514004,0,0.028514053,25573000,25576000,58.11118346,3862,33420,16077,
11505,4308000,COLUMBUS,AVE,COLUMBUS AVE,STREETS,5,NO,0.057227478,0,0.057227435,25576000,25598000,116.6365503,3863,35836,16077,
11506,4309000,COLUSA,PL,COLUSA PL,STREETS,5,NO,0.0212832,0,0.021283193,24396000,33025000,43.37250074,3864,126191,29988,
11507,4310000,COMMER,CT,COMMER CT,STREETS,5,NO,0.062783869,0,0.062783857,50782000,20138000,127.7542241,3865,17028,9703,
11508,4312000,COMMERCIAL,ST,COMMERCIAL ST,STREETS,5,NO,0.047722219,0,0.047722215,24700000,24753000,97.08590792,3866,106064,46092,
11509,4313000,COMMERCIAL,ST,COMMERCIAL ST,STREETS,5,NO,0.043362856,0,0.04336287,24753000,24755000,88.21687993,3867,110445,63053,
11510,4314000,COMMERCIAL,ST,COMMERCIAL ST,STREETS,5,NO,0.092030025,0,0.09203003,24755000,24750000,187.2213624,3868,164166,59773,
11511,4315000,COMMERCIAL,ST,COMMERCIAL ST,STREETS,5,NO,0.083657505,0,0.083657486,24750000,24986000,170.1905448,3869,166597,75847,
11512,4316000,COMMONWEALTH,AVE,COMMONWEALTH AVE,STREETS,5,NO,0.146843016,0,0.146842997,27560000,26934000,299.9200221,3870,97817,14602,
11513,4317000,COMMONWEALTH,AVE,COMMONWEALTH AVE,STREETS,5,NO,0.175998093,0,0.175998107,26934000,27217000,359.4565304,3871,98169,13371,
11514,4318000,CONCORD,ST,CONCORD ST,STREETS,5,NO,0.038545803,0,0.038545774,21488000,21479000,78.61971152,3872,61362,18133,
11515,4319000,CONCORD,ST,CONCORD ST,STREETS,5,NO,0.093560672,0,0.093560694,21479000,21478000,190.8281444,3873,54087,18133,
11516,4320000,CONCORD,ST,CONCORD ST,STREETS,5,NO,0.085764835,0,0.085764878,21478000,21466000,174.9188474,3874,30011,8754,
11517,4321000,CONCORD,ST,CONCORD ST,STREETS,5,NO,0.045800361,0,0.045800338,21466000,21459000,93.41430534,3875,21449,0,
77,4324001,MUSIC CONCOURSE,DR,MUSIC CONCOURSE DR,PARKS,5,NO,0.035014563,0,0.035014563,27253000,32852000,71.45797524,15458,,,
79,4324002,MUSIC CONCOURSE,DR,MUSIC CONCOURSE DR,PARKS,5,NO,0.191130238,0,0.191130238,32852000,35020000,389.5937665,15460,,,
80,4324003,MUSIC CONCOURSE,DR,MUSIC CONCOURSE DR,PARKS,5,NO,0.091861499,0,0.091861499,35020000,27260000,187.5261904,15461,,,
81,4324004,MUSIC CONCOURSE,DR,MUSIC CONCOURSE DR,PARKS,5,NO,0.072617836,0,0.072617836,35020000,27256000,147.8519617,15462,,,
78,4326001,MUSIC CONCOURSE ACCESS,RD,MUSIC CONCOURSE ACCESS RD,PARKS,5,NO,0.091992719,0,0.091992719,32854000,32852000,187.4538153,15459,,,
11519,4327000,CONGDON,ST,CONGDON ST,STREETS,5,NO,0.049320822,0,0.049320824,33636000,21006000,100.5943653,3881,55927,16117,
11520,4328000,CONGDON,ST,CONGDON ST,STREETS,4,NO,0.019825031,0,0.019825031,21006000,21669000,40.46265579,3882,60728,8824,
11521,4329000,CONGDON,ST,CONGDON ST,STREETS,4,NO,0.05153339,0,0.051533398,21669000,21667000,105.1776684,3883,60728,6465,
11522,4330000,CONGDON,ST,CONGDON ST,STREETS,4,NO,0.051042825,0,0.051042847,21667000,21665000,104.1753644,3884,50790,8928,
10061,4331000,CONGDON,ST,CONGDON ST,STREETS,4,NO,0.052239348,0,0.052239364,21665000,33314000,106.6163322,3885,41812,8928,
10062,4332000,JUSTIN,DR,JUSTIN DR,STREETS,5,NO,0.0541456,0,0.054145585,21674000,33636000,110.1466799,3886,63174,16851,
10063,4333000,CONGO,ST,CONGO ST,STREETS,5,NO,0.036942097,0,0.036942138,28178000,22138000,75.39777797,3887,7060,2163,
10064,4334000,CONGO,ST,CONGO ST,STREETS,5,NO,0.05591633,0,0.055916344,22138000,22139000,114.1246756,3888,7675,1919,
10065,4335000,CONGO,ST,CONGO ST,STREETS,5,NO,0.058769738,0,0.058769706,22139000,22140000,119.9497889,3889,10201,3365,
