latitude,longitude,Severity,Hour,Lane
37.80113617,-122.4093237,0,21,No
37.78926761,-122.4013575,0,15,Yes
37.77220371,-122.4372349,1,10,No
37.76615579,-122.4305147,0,9,Yes
37.77340095,-122.4357627,1,22,Yes
37.72520225,-122.4611146,1,22,No
37.76148605,-122.4251087,1,19,No
37.7616775,-122.3876759,1,12,Yes
37.78431867,-122.4396847,0,20,No
37.77871943,-122.4147412,0,22,Yes
37.77041221,-122.4537841,0,20,No
37.77147948,-122.435373,1,6,No
37.77576414,-122.4165251,0,8,Yes
37.76036702,-122.4170258,0,12,No
37.77655279,-122.4180243,1,15,No
37.78120572,-122.4642934,0,12,No
37.77551666,-122.4155992,0,11,No
37.77377475,-122.4210894,0,17,No
37.72114324,-122.398326,1,10,No
37.79421604,-122.4030469,0,17,No
37.76844553,-122.4516759,0,12,No
37.77872802,-122.4721736,2,5,No
37.78893962,-122.4085357,0,23,No
37.80516965,-122.4172262,0,11,No
37.76915008,-122.4535338,1,11,No
37.79582371,-122.4082532,1,8,No
37.80306257,-122.4141816,1,0,Yes
37.79923448,-122.3976699,1,19,Yes
37.7423046,-122.4926369,2,23,No
37.74310999,-122.4756759,1,12,No
37.78940654,-122.4221269,1,22,No
37.78008989,-122.4031679,1,6,Yes
37.77959848,-122.4932912,1,5,No
37.7799509,-122.3913578,2,9,Yes
37.77953382,-122.4024715,1,16,Yes
37.76105579,-122.4170917,1,16,No
37.78785557,-122.4421095,1,17,No
37.7515444,-122.4951091,1,18,Yes
37.75875309,-122.4168714,0,17,No
37.78933265,-122.3970348,0,9,No
37.78757538,-122.4065914,1,7,No
37.73639817,-122.3901347,0,13,Yes
37.76853739,-122.4156138,0,8,Yes
37.75243965,-122.4151723,1,17,No
37.76800573,-122.4244232,0,8,Yes
37.76049887,-122.4148419,1,18,No
37.77207565,-122.4457157,1,22,Yes
37.77821431,-122.4835254,0,18,No
37.77743289,-122.4486833,2,12,Yes
37.76178914,-122.4201282,1,15,No
37.75276958,-122.4091274,1,8,No
37.73956627,-122.4069786,0,7,Yes
37.78454661,-122.4228381,1,7,No
37.75819287,-122.4437822,0,18,No
37.76491738,-122.4218864,0,11,No
37.76712415,-122.4731103,1,16,No
37.78061162,-122.423731,1,15,No
37.78729821,-122.3944813,1,16,No
37.78579035,-122.4056941,1,12,Yes
37.75299406,-122.4063707,1,18,No
37.79022454,-122.3938989,1,16,Yes
37.7959454,-122.4217682,1,2,Yes
37.78393258,-122.4125953,1,16,No
37.71409294,-122.4521838,0,15,No
37.77227368,-122.436689,1,22,Yes
37.80580209,-122.4422096,1,16,No
37.78594132,-122.4056596,1,18,Yes
37.75878033,-122.4257332,1,12,No
37.75456421,-122.4064805,0,16,No
37.75243556,-122.4152391,0,11,No
37.79251513,-122.3973277,1,14,Yes
37.769502,-122.4133852,1,19,Yes
37.71010186,-122.4245504,1,13,Yes
37.75940653,-122.4865116,1,11,No
37.77089611,-122.4149967,2,15,No
37.77354938,-122.434109,0,0,No
37.77734948,-122.4230732,0,17,No
37.77292745,-122.4458886,1,19,Yes
37.79815206,-122.4070829,1,20,Yes
37.78279445,-122.4140538,0,9,No
37.76505853,-122.4174747,1,9,No
37.7616902,-122.4772194,1,10,No
37.78548827,-122.4153665,0,9,No
37.77486166,-122.4259416,1,23,No
37.77194034,-122.4317537,1,0,No
37.72922785,-122.4308093,1,13,No
37.74821215,-122.4158628,0,15,Yes
37.72246522,-122.4364682,1,16,No
37.7729383,-122.4458908,0,17,Yes
37.76797727,-122.4248958,0,17,Yes
37.80561848,-122.4136042,0,12,No
37.78337709,-122.4141715,0,17,No
37.7785051,-122.4056153,1,17,Yes
37.78419467,-122.4785803,0,18,No
37.76564119,-122.4729227,1,15,No
37.77497921,-122.4724345,0,16,No
37.7590601,-122.4125043,1,20,Yes
37.77291416,-122.4220074,0,13,Yes
37.7569034,-122.4210944,2,23,No
37.7455951,-122.4198858,0,16,No
37.76787776,-122.4265481,1,10,Yes
37.77455217,-122.4095195,0,9,Yes
37.77753985,-122.4586023,1,17,Yes
37.78398707,-122.408061,0,19,Yes
37.77290912,-122.4221864,0,0,No
37.76453549,-122.4174246,0,18,No
37.7460257,-122.4134608,1,16,No
37.72371646,-122.4374391,1,14,Yes
37.78008973,-122.3943,0,18,No
37.77575657,-122.458473,0,18,Yes
37.79865861,-122.4004301,1,22,Yes
37.78475136,-122.4161331,2,23,No
37.76640577,-122.4242581,0,12,No
37.80737946,-122.4073037,1,16,Yes
37.78431762,-122.4177239,1,2,No
37.76246938,-122.3983534,0,19,No
37.782423,-122.4342168,0,11,Yes
37.77438281,-122.3984084,0,17,Yes
37.7858929,-122.4197387,0,15,Yes
37.78258503,-122.4156939,1,20,No
37.7695014,-122.4133988,1,16,Yes
37.76981508,-122.4177532,1,12,No
37.77523976,-122.4584353,1,8,Yes
37.78254109,-122.3911981,0,18,No
37.77872802,-122.4721736,1,13,No
37.74300501,-122.4215615,0,13,No
37.78415186,-122.4345621,1,13,No
37.80541717,-122.4152415,2,13,No
37.79212387,-122.4210004,0,16,Yes
37.7249883,-122.4430659,1,3,No
37.72523511,-122.4026004,1,7,No
37.76344481,-122.4217454,1,19,Yes
37.76478345,-122.4241027,1,17,No
37.73920755,-122.3917947,0,17,No
37.77815031,-122.4153835,1,13,Yes
37.78552223,-122.4604361,2,10,No
37.78111713,-122.4272028,1,20,No
37.78200642,-122.4127434,1,17,Yes
37.77802076,-122.4215207,1,10,No
37.7691219,-122.4348948,1,11,No
37.76387228,-122.4662991,0,8,No
37.75257276,-122.4129952,0,20,No
37.76225061,-122.4661858,1,16,No
37.77633298,-122.3940351,0,23,Yes
37.77136901,-122.4239734,0,11,No
37.77771279,-122.4543314,1,10,Yes
37.79497201,-122.4215716,1,6,Yes
37.78709724,-122.3877949,1,16,No
37.77250282,-122.4226197,0,8,Yes
37.77147948,-122.435373,0,16,No
37.77199536,-122.4304148,1,11,No
37.72654289,-122.4179548,0,14,No
37.77646431,-122.4262633,1,11,No
37.74829829,-122.4114841,1,14,Yes
37.7866541,-122.4015116,0,9,No
37.79078805,-122.4190362,1,9,Yes
37.76840248,-122.4178483,0,10,Yes
37.77392713,-122.4461566,0,17,No
37.77186418,-122.4234127,0,9,Yes
37.72456438,-122.4422558,0,18,No
37.79096861,-122.4023804,1,9,No
37.77262031,-122.4339222,0,23,No
37.78007578,-122.4847595,1,14,No
37.77290912,-122.4221864,1,14,No
37.77459879,-122.4258885,1,14,No
37.80267238,-122.4367471,1,15,Yes
37.77389243,-122.4239219,1,21,Yes
37.73546976,-122.5067174,1,9,Yes
37.75505582,-122.424285,1,13,No
37.79057826,-122.4206874,1,18,No
37.78416428,-122.4345647,0,16,Yes
37.74220992,-122.494452,0,14,No
37.78018947,-122.4825915,1,20,No
37.77246847,-122.41326,1,8,Yes
37.78430699,-122.4396884,0,18,No
37.76544185,-122.4132007,1,14,No
37.77621315,-122.4147323,1,16,No
37.75218807,-122.4195589,0,16,No
37.76967941,-122.4495076,2,17,No
37.78982934,-122.4038416,0,14,No
37.72682405,-122.4720569,0,21,No
37.76800532,-122.4244301,1,9,Yes
37.75103389,-122.4117462,0,2,No
37.77656838,-122.3987554,1,9,No
37.76387185,-122.4705967,0,9,No
37.77245173,-122.4352892,1,17,Yes
37.77123891,-122.4372705,1,20,No
