case,latitude,longitude,collision_time
1995310,37.79766148,-122.4309893,12:56
1995321,37.7643209,-122.4218293,01:35
1995325,37.78079148,-122.3996162,17:15
1995762,37.76543705,-122.4131044,17:44
2022718,37.77291807,-122.4391194,12:55
1995778,37.76292999,-122.4216961,18:01
1995787,37.77321207,-122.4442162,15:40
1995794,37.76345159,-122.4191709,12:35
1995802,37.77862231,-122.4470398,08:45
1995803,37.78063557,-122.4082867,17:29
1995806,37.77034852,-122.4097359,18:03
1995827,37.79370326,-122.4029416,18:56
1995831,37.77045598,-122.4553689,20:35
1996052,37.76576606,-122.4502245,13:16
1996070,37.78098796,-122.4207763,09:25
1997721,37.77241793,-122.4355633,18:23
1997723,37.75273803,-122.4119099,15:20
1997731,37.77666099,-122.412158,07:05
1997764,37.78344075,-122.3962624,12:35
2004015,37.74614722,-122.4195281,10:30
2004068,37.77494301,-122.4101245,13:31
2008052,37.79082302,-122.4475015,10:10
2008056,37.78284941,-122.4665627,11:00
2008063,37.77018538,-122.4246699,22:40
2008119,37.77020819,-122.4071967,18:35
2008123,37.80113617,-122.4093237,21:00
2008144,37.78926761,-122.4013575,15:20
2008160,37.77220371,-122.4372349,10:30
2008170,37.76615579,-122.4305147,09:23
2008173,37.77340095,-122.4357627,22:37
2008186,37.72520225,-122.4611146,22:57
2008195,37.76148605,-122.4251087,19:08
2008207,37.7616775,-122.3876759,12:13
2008217,37.78431867,-122.4396847,20:07
4712230,37.77871943,-122.4147412,22:36
2008219,37.77041221,-122.4537841,20:28
2008226,37.77147948,-122.435373,06:55
2008306,37.77576414,-122.4165251,08:31
2019220,37.76036702,-122.4170258,12:10
2022674,37.77655279,-122.4180243,15:00
2022679,37.78120572,-122.4642934,12:49
2022686,37.77551666,-122.4155992,11:48
2022705,37.77377475,-122.4210894,17:29
2022709,37.72114324,-122.398326,10:46
2022715,37.79421604,-122.4030469,17:43
2022720,37.76844553,-122.4516759,12:11
2022884,37.77872802,-122.4721736,05:40
2023770,37.78893962,-122.4085357,23:54
2023788,37.80516965,-122.4172262,11:10
2023866,37.76915008,-122.4535338,11:36
2023872,37.79582371,-122.4082532,08:37
2023879,37.80306257,-122.4141816,00:20
2023907,37.79923448,-122.3976699,19:00
2036445,37.7423046,-122.4926369,23:57
2036469,37.74310999,-122.4756759,12:45
2037028,37.78940654,-122.4221269,22:58
2060010,37.78008989,-122.4031679,06:56
2060034,37.77959848,-122.4932912,05:58
2060058,37.7799509,-122.3913578,09:10
2063366,37.77953382,-122.4024715,16:59
2063385,37.76105579,-122.4170917,16:29
2063390,37.78785557,-122.4421095,17:40
2063429,37.7515444,-122.4951091,18:00
2063437,37.75875309,-122.4168714,17:30
2063459,37.78933265,-122.3970348,09:38
2063506,37.78757538,-122.4065914,07:08
2063525,37.73639817,-122.3901347,13:20
2067209,37.76853739,-122.4156138,08:53
2067245,37.75243965,-122.4151723,17:00
2067330,37.76800573,-122.4244232,08:15
2067342,37.76049887,-122.4148419,18:38
2072471,37.77207565,-122.4457157,22:14
2079286,37.77821431,-122.4835254,18:46
2079327,37.77743289,-122.4486833,12:45
2079355,37.76178914,-122.4201282,15:54
2081762,37.75276958,-122.4091274,08:18
2081799,37.73956627,-122.4069786,07:50
2081839,37.78454661,-122.4228381,07:30
2099943,37.75819287,-122.4437822,18:47
2099946,37.76491738,-122.4218864,11:00
2099947,37.76712415,-122.4731103,16:20
2099951,37.78061162,-122.423731,15:59
2099999,37.78729821,-122.3944813,16:11
2100012,37.78579035,-122.4056941,12:30
2100032,37.75299406,-122.4063707,18:55
2100035,37.79022454,-122.3938989,16:35
2100055,37.7959454,-122.4217682,02:15
2105945,37.78393258,-122.4125953,16:54
2105953,37.71409294,-122.4521838,15:10
2105982,37.77227368,-122.436689,22:21
2105986,37.80580209,-122.4422096,16:59
2106060,37.78594132,-122.4056596,18:27
2106257,37.75878033,-122.4257332,12:33
2106289,37.75456421,-122.4064805,16:51
2106297,37.75243556,-122.4152391,11:50
2106340,37.79251513,-122.3973277,14:47
2106352,37.769502,-122.4133852,19:32
2106384,37.71010186,-122.4245504,13:08
2108087,37.75940653,-122.4865116,11:45
2108093,37.77089611,-122.4149967,15:14
2110365,37.77354938,-122.434109,00:39
2110373,37.77734948,-122.4230732,17:25
2112250,37.77292745,-122.4458886,19:11
2112274,37.79815206,-122.4070829,20:15
2112291,37.78279445,-122.4140538,09:12
2116164,37.76505853,-122.4174747,09:59
2116200,37.7616902,-122.4772194,10:45
2116212,37.78548827,-122.4153665,09:35
2117020,37.77486166,-122.4259416,23:05
2117169,37.77194034,-122.4317537,00:35
6059105,37.72922785,-122.4308093,13:06
2146556,37.74821215,-122.4158628,15:50
2146586,37.72246522,-122.4364682,16:33
2146590,37.7729383,-122.4458908,17:01
2146594,37.76797727,-122.4248958,17:07
2150047,37.80561848,-122.4136042,12:00
2150087,37.78337709,-122.4141715,17:05
2150116,37.7785051,-122.4056153,17:15
2159103,37.78419467,-122.4785803,18:10
2159107,37.76564119,-122.4729227,15:19
2159161,37.77497921,-122.4724345,16:57
2159311,37.7590601,-122.4125043,20:50
2159355,37.77291416,-122.4220074,13:52
2159954,37.7569034,-122.4210944,23:14
2159958,37.7455951,-122.4198858,16:34
2160574,37.76787776,-122.4265481,10:35
2160799,37.77455217,-122.4095195,09:20
2165223,37.77753985,-122.4586023,17:05
2172057,37.78398707,-122.408061,19:20
2172061,37.77290912,-122.4221864,00:22
2183783,37.76453549,-122.4174246,18:18
2183787,37.7460257,-122.4134608,16:09
2183788,37.72371646,-122.4374391,14:05
2183805,37.78008973,-122.3943,18:28
2183807,37.77575657,-122.458473,18:45
2183811,37.79865861,-122.4004301,22:47
2183812,37.78475136,-122.4161331,23:25
2183907,37.76640577,-122.4242581,12:35
2183926,37.80737946,-122.4073037,16:50
2186237,37.78431762,-122.4177239,02:05
2186401,37.76246938,-122.3983534,19:55
2186425,37.782423,-122.4342168,11:15
2186446,37.77438281,-122.3984084,17:45
2186449,37.7858929,-122.4197387,15:43
2187360,37.78258503,-122.4156939,20:45
2188629,37.7695014,-122.4133988,16:46
2198425,37.76981508,-122.4177532,12:01
2226605,37.77523976,-122.4584353,08:49
2229995,37.78254109,-122.3911981,18:30
2232011,37.77872802,-122.4721736,13:40
2232272,37.74300501,-122.4215615,13:25
2232296,37.78415186,-122.4345621,13:20
2232304,37.80541717,-122.4152415,13:40
2232312,37.79212387,-122.4210004,16:40
2232315,37.7249883,-122.4430659,03:15
2238669,37.72523511,-122.4026004,07:00
2238673,37.76344481,-122.4217454,19:45
2238730,37.76478345,-122.4241027,17:38
2238738,37.73920755,-122.3917947,17:30
2238739,37.77815031,-122.4153835,13:00
2238762,37.78552223,-122.4604361,10:30
2238786,37.78111713,-122.4272028,20:55
2238790,37.78200642,-122.4127434,17:16
2238800,37.77802076,-122.4215207,10:35
2251084,37.7691219,-122.4348948,11:42
2252616,37.76387228,-122.4662991,08:15
2252649,37.75257276,-122.4129952,20:00
2253552,37.76225061,-122.4661858,16:00
2267691,37.77633298,-122.3940351,23:54
2267718,37.77136901,-122.4239734,11:09
2267728,37.77771279,-122.4543314,10:38
2267732,37.79497201,-122.4215716,06:40
2307443,37.78709724,-122.3877949,16:30
2307447,37.77250282,-122.4226197,08:26
2307456,37.77147948,-122.435373,16:25
2307467,37.77199536,-122.4304148,11:35
2307476,37.72654289,-122.4179548,14:29
2307487,37.77646431,-122.4262633,11:58
2308670,37.74829829,-122.4114841,14:30
2308674,37.7866541,-122.4015116,09:06
2308709,37.79078805,-122.4190362,09:00
2308717,37.76840248,-122.4178483,10:05
2308718,37.77392713,-122.4461566,17:10
2310256,37.77186418,-122.4234127,09:30
2311706,37.72456438,-122.4422558,18:00
2311745,37.79096861,-122.4023804,09:20
2311750,37.77262031,-122.4339222,23:07
2338736,37.78007578,-122.4847595,14:50
2339020,37.77290912,-122.4221864,14:00
2339045,37.77459879,-122.4258885,14:00
2339047,37.80267238,-122.4367471,15:58
2339098,37.77389243,-122.4239219,21:22
2339100,37.73546976,-122.5067174,09:25
2339110,37.75505582,-122.424285,13:35
2339111,37.79057826,-122.4206874,18:32
2339119,37.78416428,-122.4345647,16:26
2339120,37.74220992,-122.494452,14:48
2339145,37.78018947,-122.4825915,20:36
2339189,37.77246847,-122.41326,08:55
2339689,37.78430699,-122.4396884,18:58
2339844,37.76544185,-122.4132007,14:08
2340010,37.77621315,-122.4147323,16:17
2340019,37.75218807,-122.4195589,16:13
2340057,37.76967941,-122.4495076,17:17
2340064,37.78982934,-122.4038416,14:06
2340069,37.72682405,-122.4720569,21:20
2340073,37.76800532,-122.4244301,09:52
2340076,37.75103389,-122.4117462,02:18
2345180,37.77656838,-122.3987554,09:16
2345209,37.76387185,-122.4705967,09:57
