cnn_sgmt_pkey,f_node_cnn_intrsctn_fkey,t_node_cnn_intrsctn_fkey,cyc_ntwrk_yn,speed_limit,pk_metered_cnt,pk_on_st_cnt,oneway_yn,daily_ride_qrt,facility_type,surface_type,sharrow,Cluster_x,Cluster_y,Score_y2,Scale_Score_y2
8366101,27439000,27440000,NO,35.0,0.0,0.0,NO,13877.0,missing,missing,missing,4.0,0.0,0.00042710435943638575,66.5183768173285
8366201,27439000,27440000,NO,35.0,0.0,20.0,NO,15619.0,missing,missing,missing,4.0,0.0,0.0003429838108258935,64.55875109136451
8367101,27440000,27719000,NO,35.0,0.0,0.0,NO,13949.0,missing,missing,missing,0.0,2.0,0.0003978497468705741,65.8844752454975
8367201,27440000,27719000,NO,35.0,0.0,0.0,NO,13949.0,missing,missing,missing,0.0,2.0,0.0003978497468705741,65.8844752454975
8368101,27719000,27721000,NO,35.0,0.0,0.0,NO,12190.0,missing,missing,missing,2.0,4.0,0.00044309560077309654,66.84676470391075
8368201,27719000,27721000,NO,35.0,0.0,0.0,NO,12190.0,missing,missing,missing,2.0,4.0,0.00044309560077309654,66.84676470391075
8369101,27721000,27722000,NO,35.0,0.0,0.0,NO,13944.0,missing,missing,missing,4.0,0.0,0.00042710435943638575,66.5183768173285
8369201,27721000,27722000,NO,35.0,0.0,0.0,NO,13944.0,missing,missing,missing,4.0,0.0,0.00042710435943638575,66.5183768173285
8370101,27722000,27740000,NO,35.0,0.0,0.0,NO,15628.0,missing,missing,missing,0.0,4.0,0.0004199438627759275,66.36732690654503
8370201,27722000,27740000,NO,35.0,0.0,0.0,NO,15628.0,missing,missing,missing,0.0,4.0,0.0004199438627759275,66.36732690654503
8371101,27740000,27741000,NO,35.0,0.0,0.0,NO,17406.0,missing,missing,missing,4.0,4.0,0.00043854213645395875,66.7544797829343
8371201,27740000,27741000,NO,35.0,0.0,0.0,NO,17406.0,missing,missing,missing,4.0,4.0,0.00043854213645395875,66.7544797829343
8372101,27741000,27742000,NO,35.0,0.0,0.0,NO,13913.0,missing,missing,missing,4.0,5.0,0.0004637750920339498,67.25428091708683
8372201,27741000,27742000,NO,35.0,0.0,0.0,NO,13913.0,missing,missing,missing,4.0,5.0,0.0004637750920339498,67.25428091708683
5646000,22352000,22354000,NO,25.0,0.0,0.0,NO,14990.0,missing,missing,missing,5.0,4.0,0.00045477652487271853,67.07923225060357
5648000,22355000,22295000,NO,25.0,0.0,0.0,NO,9569.0,missing,missing,missing,4.0,6.0,0.0005861810923499006,69.34687929811516
5650000,24545000,23607000,YES,25.0,16.0,17.0,NO,25379.0,BIKE LANE,missing,NO,2.0,5.0,9.469277018740914e-05,53.06030765527008
5651000,23607000,24503000,YES,25.0,22.0,18.0,YES,29570.0,BIKE LANE,missing,NO,5.0,5.0,0.00040173244818131245,65.9712412097605
5652000,24503000,24496000,YES,25.0,17.0,17.0,YES,31475.0,BIKE LANE,missing,NO,5.0,3.0,0.00033394876427565804,64.320252461577
5653000,24496000,24505000,YES,25.0,21.0,17.0,YES,30357.0,BIKE LANE,missing,NO,3.0,3.0,0.00014219648567823556,56.692616325954134
5654000,24505000,24498000,YES,25.0,8.0,6.0,YES,36763.0,BIKE LANE,missing,NO,3.0,5.0,0.00018155811708010734,58.87577804344299
8373101,27742000,27745000,NO,35.0,0.0,0.0,NO,15840.0,missing,missing,missing,5.0,6.0,0.000474123459744422,67.45143634035037
8373201,27742000,27745000,NO,35.0,0.0,4.0,NO,13913.0,missing,missing,missing,5.0,6.0,0.00035356425799110754,64.8301833445945
8374101,27745000,27747000,NO,35.0,0.0,0.0,NO,14090.0,missing,missing,missing,6.0,1.0,0.00037639394244460693,65.38919220898299
